YearOfObservation,Insured_Period,Residential,Building Dimension,Building_Type,NumberOfWindows,Claim,Building_Painted,Building_Fenced,Garden,Settlement,Painted_Fenced_Garden,Painted_Fenced,Garden_Settlement,Fenced_Garden_Settlement,Painted_Fenced_Settlement,Painted_Fenced_Garden_Settlement
2012,1,0,700,2,5,0,1,1,1,1,5,3,2,4,4,4
2012,1,0,2600,2,5,1,1,1,1,1,5,3,2,4,4,4
2016,1,0,550,2,5,0,0,1,1,1,1,1,2,4,1,1
2013,1,0,2250,2,5,0,1,1,1,1,5,3,2,4,4,4
2013,1,0,1220,2,5,0,0,1,1,1,1,1,2,4,1,1
2015,1,0,1220,2,5,0,0,1,1,1,1,1,2,4,1,1
2013,0,0,1705,2,5,0,0,1,1,1,1,1,2,4,1,1
2012,1,0,640,2,5,0,1,1,1,1,5,3,2,4,4,4
2013,1,0,1192,2,5,0,1,1,1,1,5,3,2,4,4,4
2013,0.35890411,0,340,2,5,0,1,1,1,1,5,3,2,4,4,4
2013,0.915068493,0,500,2,5,0,1,0,0,0,2,2,0,0,2,2
2014,1,0,1950,2,7,0,1,1,1,1,5,3,2,4,4,4
2014,1,0,550,2,7,0,0,1,1,1,1,1,2,4,1,1
2014,0.410958904,0,1100,2,7,0,0,1,1,1,1,1,2,4,1,1
2015,0.183561644,1,1445,2,7,0,1,1,1,1,5,3,2,4,4,4
2012,0,0,420,2,7,1,1,1,1,1,5,3,2,4,4,4
2013,0.832876712,0,240,2,7,0,1,1,1,1,5,3,2,4,4,4
2012,1,0,1830,2,7,0,1,1,1,1,5,3,2,4,4,4
2015,0,0,390,2,7,0,1,1,1,1,5,3,2,4,4,4
2014,0.915068493,0,640,2,7,1,1,1,1,1,5,3,2,4,4,4
2014,0,0,300,2,7,0,1,1,1,1,5,3,2,4,4,4
2012,1,0,230,2,7,0,1,1,1,1,5,3,2,4,4,4
2016,0.030054645,0,2300,2,7,0,1,0,0,0,2,2,0,0,2,2
2012,1,0,2400,2,4,1,0,1,1,1,1,1,2,4,1,1
2012,1,0,450,2,4,0,1,0,0,0,2,2,0,0,2,2
2012,1,0,850,2,4,0,1,1,1,1,5,3,2,4,4,4
2014,1,0,280,2,4,0,1,0,0,0,2,2,0,0,2,2
2014,1,0,1500,2,4,0,0,1,1,1,1,1,2,4,1,1
2015,0.219178082,1,2400,2,4,0,0,1,1,1,1,1,2,4,1,1
2016,1,0,600,2,4,0,0,1,1,1,1,1,2,4,1,1
2012,1,0,238,2,4,0,0,1,1,1,1,1,2,4,1,1
2012,1,0,1650,2,4,1,1,1,1,1,5,3,2,4,4,4
2015,1,0,2000,2,4,1,0,1,1,1,1,1,2,4,1,1
2012,1,0,920,2,4,0,0,1,1,1,1,1,2,4,1,1
2013,0.778082192,0,450,2,4,0,1,1,1,1,5,3,2,4,4,4
2016,0.99726776,0,240,2,4,0,0,1,1,1,1,1,2,4,1,1
2013,0,0,150,2,4,0,0,1,1,1,1,1,2,4,1,1
2013,1,0,1620,2,4,0,1,1,1,1,5,3,2,4,4,4
2014,1,0,1620,2,4,0,1,1,1,1,5,3,2,4,4,4
2012,1,0,390,2,4,0,0,1,1,1,1,1,2,4,1,1
2016,1,1,950,2,4,0,1,1,1,1,5,3,2,4,4,4
2012,1,0,900,2,4,0,0,1,1,1,1,1,2,4,1,1
2015,1,1,760,2,4,0,1,1,1,1,5,3,2,4,4,4
2013,1,1,250,2,4,0,0,1,1,1,1,1,2,4,1,1
2012,1,1,350,2,4,0,0,1,1,1,1,1,2,4,1,1
2012,1,1,900,2,4,0,1,1,1,1,5,3,2,4,4,4
2014,1,0,600,2,4,1,0,1,1,1,1,1,2,4,1,1
2012,1,0,475,2,4,1,0,1,1,1,1,1,2,4,1,1
2013,1,1,400,2,4,0,1,0,0,0,2,2,0,0,2,2
2014,1,1,400,2,4,1,1,0,0,0,2,2,0,0,2,2
2014,1,1,743,2,6,0,1,0,0,0,2,2,0,0,2,2
2014,1,0,1105,2,3,0,0,1,1,1,1,1,2,4,1,1
2014,0.323287671,0,300,2,3,0,0,1,1,1,1,1,2,4,1,1
2013,1,0,650,2,3,0,1,0,0,0,2,2,0,0,2,2
2012,1,0,448,2,5,0,1,1,1,1,5,3,2,4,4,4
2012,1,0,1800,2,5,0,0,1,1,1,1,1,2,4,1,1
2013,1,0,1800,2,5,0,0,1,1,1,1,1,2,4,1,1
2013,1,0,140,2,5,1,0,1,1,1,1,1,2,4,1,1
2013,1,0,396,2,5,0,1,0,0,0,2,2,0,0,2,2
2015,1,0,396,2,5,0,1,0,0,0,2,2,0,0,2,2
2014,1,0,1740,2,9,1,0,1,1,1,1,1,2,4,1,1
2012,1,0,510,2,9,0,0,1,1,1,1,1,2,4,1,1
2015,1,0,510,2,9,0,0,1,1,1,1,1,2,4,1,1
2014,1,0,350,2,9,0,0,1,1,1,1,1,2,4,1,1
2012,1,0,700,2,9,0,0,1,1,1,1,1,2,4,1,1
2013,1,0,700,2,9,1,0,1,1,1,1,1,2,4,1,1
2014,1,0,700,2,9,0,0,1,1,1,1,1,2,4,1,1
2012,1,0,825,2,9,0,0,1,1,1,1,1,2,4,1,1
2013,0.41369863,0,230,2,9,0,1,1,1,1,5,3,2,4,4,4
2012,1,0,2280,2,9,0,1,0,0,0,2,2,0,0,2,2
2013,1,0,2280,2,9,0,1,0,0,0,2,2,0,0,2,2
2015,1,0,2280,2,9,0,1,0,0,0,2,2,0,0,2,2
2013,1,0,5567,2,6,0,1,0,0,0,2,2,0,0,2,2
2012,1,1,960,2,5,0,1,0,0,0,2,2,0,0,2,2
2015,1,0,321,2,3,0,1,0,0,0,2,2,0,0,2,2
2014,1,0,472,2,6,0,0,1,1,1,1,1,2,4,1,1
2016,0.99726776,0,660,2,6,1,1,0,0,0,2,2,0,0,2,2
2016,0.99726776,1,780,2,3,0,1,0,0,0,2,2,0,0,2,2
2016,0.166666667,1,900,2,3,0,1,0,0,0,2,2,0,0,2,2
2013,1,0,516,2,5,0,1,0,0,0,2,2,0,0,2,2
2015,1,0,1600,2,8,0,0,1,1,1,1,1,2,4,1,1
2013,0,0,450,2,8,1,1,1,1,1,5,3,2,4,4,4
2015,0,0,450,2,8,0,1,1,1,1,5,3,2,4,4,4
2014,1,0,1750,2,8,0,0,1,1,1,1,1,2,4,1,1
2013,1,0,320,2,8,0,0,1,1,1,1,1,2,4,1,1
2013,1,0,4700,2,8,0,0,1,1,1,1,1,2,4,1,1
2015,1,0,480,2,8,0,0,1,1,1,1,1,2,4,1,1
2013,1,0,820,2,8,0,1,1,1,1,5,3,2,4,4,4
2012,1,0,100,2,8,0,0,1,1,1,1,1,2,4,1,1
2014,1,0,100,2,8,0,0,1,1,1,1,1,2,4,1,1
2015,1,0,1500,2,8,0,0,1,1,1,1,1,2,4,1,1
2014,1,0,660,2,8,0,0,1,1,1,1,1,2,4,1,1
2012,1,0,450,2,8,0,0,1,1,1,1,1,2,4,1,1
2012,1,0,550,2,8,0,0,1,1,1,1,1,2,4,1,1
2012,1,0,570,2,8,0,1,1,1,1,5,3,2,4,4,4
2016,1,1,1600,2,8,0,1,1,1,1,5,3,2,4,4,4
2015,1,1,401,2,8,0,0,1,1,1,1,1,2,4,1,1
2016,0.393442623,1,401,2,8,0,0,1,1,1,1,1,2,4,1,1
2016,0.475409836,1,700,2,8,0,0,1,1,1,1,1,2,4,1,1
2012,1,1,2000,2,8,0,0,1,1,1,1,1,2,4,1,1
2013,0.328767123,1,2000,2,8,0,0,1,1,1,1,1,2,4,1,1
2015,1,0,900,2,8,0,0,1,1,1,1,1,2,4,1,1
2014,1,0,2100,2,8,1,1,0,0,0,2,2,0,0,2,2
2015,1,0,2100,2,8,1,1,0,0,0,2,2,0,0,2,2
2016,0.99726776,0,2100,2,8,0,1,0,0,0,2,2,0,0,2,2
2012,1,1,880,2,6,0,1,1,1,1,5,3,2,4,4,4
2016,1,1,800,2,6,0,0,1,1,1,1,1,2,4,1,1
2012,1,0,3880,2,6,1,1,0,0,0,2,2,0,0,2,2
2012,1,0,360,2,9,0,0,1,1,1,1,1,2,4,1,1
2013,1,0,360,2,9,0,0,1,1,1,1,1,2,4,1,1
2015,1,0,1050,2,9,1,0,1,1,1,1,1,2,4,1,1
2016,0.99726776,0,1050,2,9,0,0,1,1,1,1,1,2,4,1,1
2012,1,0,300,2,9,1,0,1,1,1,1,1,2,4,1,1
2014,1,0,3900,2,9,0,0,1,1,1,1,1,2,4,1,1
2013,1,0,4350,2,9,0,0,0,0,0,0,0,0,0,0,0
2012,1,0,3283,2,5,0,1,0,0,0,2,2,0,0,2,2
2014,1,0,1200,2,4,1,1,0,0,0,2,2,0,0,2,2
2016,1,0,4100,2,10,0,1,0,0,0,2,2,0,0,2,2
2015,1,0,380,2,4,0,1,0,0,0,2,2,0,0,2,2
2012,1,1,510,2,10,0,0,1,1,1,1,1,2,4,1,1
2012,1,0,9000,2,10,0,1,0,0,0,2,2,0,0,2,2
2012,1,0,3550,2,5,0,1,0,0,0,2,2,0,0,2,2
2013,1,0,1100,2,4,0,1,0,0,0,2,2,0,0,2,2
2013,1,0,1320,2,8,0,1,0,0,0,2,2,0,0,2,2
2013,0.465753425,0,2500,2,10,0,1,0,0,0,2,2,0,0,2,2
2014,0.794520548,0,2600,2,4,1,1,0,0,0,2,2,0,0,2,2
2014,1,0,3100,2,4,0,1,0,0,0,2,2,0,0,2,2
2015,0,0,870,2,9,0,1,1,1,1,5,3,2,4,4,4
2014,0,0,380,2,9,0,1,1,1,1,5,3,2,4,4,4
2014,0.084931507,1,3300,2,9,0,1,0,0,0,2,2,0,0,2,2
2012,1,1,150,2,3,0,0,1,1,1,1,1,2,4,1,1
2012,1,0,2400,2,3,1,1,1,1,1,5,3,2,4,4,4
2015,1,0,3281,2,3,1,0,1,1,1,1,1,2,4,1,1
2012,1,0,6468,2,3,0,0,1,1,1,1,1,2,4,1,1
2015,0.328767123,0,6468,2,3,0,0,1,1,1,1,1,2,4,1,1
2012,1,0,1070,2,3,0,1,1,1,1,5,3,2,4,4,4
2013,1,0,1070,2,3,1,1,1,1,1,5,3,2,4,4,4
2014,1,0,6800,2,3,0,0,1,1,1,1,1,2,4,1,1
2013,0.747945205,1,2000,2,3,1,1,1,1,1,5,3,2,4,4,4
2012,1,0,1000,2,3,0,0,1,1,1,1,1,2,4,1,1
2016,0.99726776,0,710,2,3,0,0,1,1,1,1,1,2,4,1,1
2013,1,1,1500,2,3,0,0,1,1,1,1,1,2,4,1,1
2014,1,1,1700,2,3,0,0,1,1,1,1,1,2,4,1,1
2015,1,0,2025,2,3,0,0,1,1,1,1,1,2,4,1,1
2013,1,0,6657,2,3,1,0,1,1,1,1,1,2,4,1,1
2013,1,0,3000,2,3,0,0,1,1,1,1,1,2,4,1,1
2014,1,0,824,2,3,0,1,0,0,0,2,2,0,0,2,2
2013,0.224657534,0,370,2,10,0,0,1,1,1,1,1,2,4,1,1
2014,1,0,1793,2,10,0,0,1,1,1,1,1,2,4,1,1
2016,1,0,150,2,10,0,0,1,1,1,1,1,2,4,1,1
2012,1,0,2255,2,10,0,1,0,0,0,2,2,0,0,2,2
2014,0.731506849,0,1765,2,6,1,1,0,0,0,2,2,0,0,2,2
2012,1,0,1980,2,5,0,0,1,1,1,1,1,2,4,1,1
2013,1,0,2270,2,5,0,0,1,1,1,1,1,2,4,1,1
2015,1,0,2270,2,5,1,0,1,1,1,1,1,2,4,1,1
2016,1,0,2270,2,5,0,0,1,1,1,1,1,2,4,1,1
2012,0.191256831,0,4914,2,5,0,1,1,1,1,5,3,2,4,4,4
2015,1,0,2724,2,5,0,1,0,0,0,2,2,0,0,2,2
2014,1,0,12500,2,4,1,1,0,0,0,2,2,0,0,2,2
2013,1,0,7259,2,8,0,1,0,0,0,2,2,0,0,2,2
2014,1,0,7259,2,8,1,1,0,0,0,2,2,0,0,2,2
2016,1,1,600,2,2,0,1,0,0,0,2,2,0,0,2,2
2012,1,0,85,2,1,0,1,0,0,0,2,2,0,0,2,2
2015,1,0,9122,2,6,1,1,0,0,0,2,2,0,0,2,2
2014,1,0,2300,2,5,0,1,0,0,0,2,2,0,0,2,2
2016,1,0,1900,2,10,0,1,0,0,0,2,2,0,0,2,2
2014,0,0,600,2,10,0,1,1,1,1,5,3,2,4,4,4
2013,1,0,1222,2,10,0,1,1,1,1,5,3,2,4,4,4
2012,1,0,6766,2,10,1,1,1,1,1,5,3,2,4,4,4
2016,0.99726776,0,2530,2,10,0,0,1,1,1,1,1,2,4,1,1
2014,1,0,1230,2,10,0,1,1,1,1,5,3,2,4,4,4
2016,0.99726776,0,1300,2,10,0,0,1,1,1,1,1,2,4,1,1
2014,1,0,5873,2,10,1,1,0,0,0,2,2,0,0,2,2
2015,1,0,5873,2,10,1,1,0,0,0,2,2,0,0,2,2
2014,1,0,1920,2,2,0,0,1,1,1,1,1,2,4,1,1
2016,0.99726776,0,1880,2,2,0,0,1,1,1,1,1,2,4,1,1
2014,1,0,2255,2,2,0,0,1,1,1,1,1,2,4,1,1
2015,1,0,2255,2,2,0,0,1,1,1,1,1,2,4,1,1
2014,1,0,1182,2,2,0,0,1,1,1,1,1,2,4,1,1
2016,1,0,1182,2,2,0,0,1,1,1,1,1,2,4,1,1
2014,1,0,4080,2,2,1,0,1,1,1,1,1,2,4,1,1
2015,1,0,3600,2,2,0,1,0,0,0,2,2,0,0,2,2
2014,0.747945205,1,490,2,10,0,0,1,1,1,1,1,2,4,1,1
2012,0.467213115,1,100,2,10,0,0,1,1,1,1,1,2,4,1,1
2013,1,0,6100,2,10,0,0,1,1,1,1,1,2,4,1,1
2015,0.493150685,0,1500,2,10,0,1,0,0,0,2,2,0,0,2,2
2015,1,0,4500,2,6,0,1,0,0,0,2,2,0,0,2,2
2013,1,0,430,2,3,0,1,0,0,0,2,2,0,0,2,2
2014,1,1,380,2,3,0,1,0,0,0,2,2,0,0,2,2
2012,1,0,4914,2,5,1,1,0,0,0,2,2,0,0,2,2
2016,1,0,4914,2,5,1,1,0,0,0,2,2,0,0,2,2
2012,1,0,8485,2,7,0,1,0,0,0,2,2,0,0,2,2
2014,1,0,8485,2,7,1,1,0,0,0,2,2,0,0,2,2
2016,0.99726776,0,8485,2,7,1,1,0,0,0,2,2,0,0,2,2
2015,1,0,3300,2,5,1,1,0,0,0,2,2,0,0,2,2
2016,1,0,600,2,5,0,1,0,0,0,2,2,0,0,2,2
2013,0,0,450,2,3,0,1,1,1,1,5,3,2,4,4,4
2016,0.994535519,0,400,2,3,0,1,1,1,1,5,3,2,4,4,4
2015,1,0,190,2,3,0,1,1,1,1,5,3,2,4,4,4
2016,0.245901639,0,190,2,3,0,1,1,1,1,5,3,2,4,4,4
2015,1,0,1000,2,3,0,0,1,1,1,1,1,2,4,1,1
2013,1,0,800,2,3,0,1,0,0,0,2,2,0,0,2,2
2012,1,0,353,2,3,0,1,1,1,1,5,3,2,4,4,4
2013,1,0,900,2,3,1,1,0,0,0,2,2,0,0,2,2
2015,1,0,355,2,2,0,1,0,0,0,2,2,0,0,2,2
2013,1,0,522,2,2,0,1,0,0,0,2,2,0,0,2,2
2015,1,0,522,2,2,0,1,0,0,0,2,2,0,0,2,2
2013,1,0,541,2,3,0,1,0,0,0,2,2,0,0,2,2
2015,1,0,8100,2,6,1,1,0,0,0,2,2,0,0,2,2
2016,0.99726776,0,600,2,5,0,0,1,1,1,1,1,2,4,1,1
2012,1,1,4069,2,5,1,1,0,0,0,2,2,0,0,2,2
2016,0.99726776,0,2250,2,4,0,1,0,0,0,2,2,0,0,2,2
2013,1,1,384,2,3,0,1,0,0,0,2,2,0,0,2,2
2015,1,0,456,2,10,0,1,1,1,1,5,3,2,4,4,4
2013,1,0,750,2,10,0,0,1,1,1,1,1,2,4,1,1
2013,0.978082192,0,323,2,10,0,1,1,1,1,5,3,2,4,4,4
2013,1,0,700,2,10,0,0,1,1,1,1,1,2,4,1,1
2014,1,0,700,2,10,0,0,1,1,1,1,1,2,4,1,1
2013,0.912328767,0,4870,2,10,1,1,0,0,0,2,2,0,0,2,2
2012,0.99726776,0,4523,2,5,1,1,0,0,0,2,2,0,0,2,2
2012,1,0,4322,2,5,0,1,0,0,0,2,2,0,0,2,2
2012,0.901639344,1,6300,2,5,0,1,0,0,0,2,2,0,0,2,2
2013,1,1,6300,2,5,0,1,0,0,0,2,2,0,0,2,2
2015,1,1,6300,2,5,0,1,0,0,0,2,2,0,0,2,2
2012,0.546448087,1,6000,2,3,0,1,0,0,0,2,2,0,0,2,2
2013,0.093150685,0,180,2,2,0,1,0,0,0,2,2,0,0,2,2
2015,1,0,2126,2,7,0,1,1,1,1,5,3,2,4,4,4
2014,1,0,2600,2,7,1,1,1,1,1,5,3,2,4,4,4
2012,1,0,1891,2,7,1,0,1,1,1,1,1,2,4,1,1
2015,1,0,1891,2,7,0,0,1,1,1,1,1,2,4,1,1
2013,1,0,1891,2,7,1,0,1,1,1,1,1,2,4,1,1
2016,1,1,3500,2,7,1,1,0,0,0,2,2,0,0,2,2
2013,1,1,900,2,3,0,1,0,0,0,2,2,0,0,2,2
2014,1,0,7500,2,3,1,0,1,1,1,1,1,2,4,1,1
2015,1,0,7500,2,3,0,0,1,1,1,1,1,2,4,1,1
2013,1,0,320,2,3,0,1,0,0,0,2,2,0,0,2,2
2013,1,1,16859,2,6,0,1,1,1,1,5,3,2,4,4,4
2013,1,1,8900,2,6,0,1,0,0,0,2,2,0,0,2,2
2015,1,0,580,2,4,1,1,0,0,0,2,2,0,0,2,2
2013,1,0,534,2,4,0,1,0,0,0,2,2,0,0,2,2
2015,1,0,534,2,4,0,1,0,0,0,2,2,0,0,2,2
2016,1,0,534,2,4,0,1,0,0,0,2,2,0,0,2,2
2012,1,0,780,2,3,0,1,1,1,1,5,3,2,4,4,4
2016,0.99726776,0,1377,2,3,0,0,1,1,1,1,1,2,4,1,1
2013,1,0,1920,2,3,0,0,1,1,1,1,1,2,4,1,1
2016,0.99726776,0,1920,2,3,0,0,1,1,1,1,1,2,4,1,1
2012,1,0,1410,2,3,0,0,1,1,1,1,1,2,4,1,1
2012,1,1,8960,2,3,0,1,0,0,0,2,2,0,0,2,2
2013,0.536986301,1,8960,2,3,0,1,0,0,0,2,2,0,0,2,2
2016,0.99726776,0,6100,2,5,0,1,0,0,0,2,2,0,0,2,2
2013,0.271232877,0,204,2,3,0,1,1,1,1,5,3,2,4,4,4
2012,1,0,432,2,3,1,1,1,1,1,5,3,2,4,4,4
2013,0.832876712,0,432,2,3,0,1,1,1,1,5,3,2,4,4,4
2012,1,0,400,2,3,0,1,0,0,0,2,2,0,0,2,2
2012,1,0,330,2,2,0,1,0,0,0,2,2,0,0,2,2
2016,0.99726776,0,1300,2,4,0,1,0,0,0,2,2,0,0,2,2
2016,0.016393443,1,510,2,3,0,1,0,0,0,2,2,0,0,2,2
2013,1,0,530,2,4,0,1,1,1,1,5,3,2,4,4,4
2015,1,0,400,2,4,0,1,0,0,0,2,2,0,0,2,2
2012,1,0,250,2,1,0,0,1,1,1,1,1,2,4,1,1
2015,1,0,250,2,1,0,0,1,1,1,1,1,2,4,1,1
2013,1,0,4000,2,1,0,0,1,1,1,1,1,2,4,1,1
2012,0.431693989,0,300,2,1,0,1,0,0,0,2,2,0,0,2,2
2013,0.915068493,0,300,2,3,1,1,0,0,0,2,2,0,0,2,2
2015,1,0,200,2,2,0,1,0,0,0,2,2,0,0,2,2
2016,0.99726776,0,540,2,4,0,1,1,1,1,5,3,2,4,4,4
2013,1,0,450,2,4,0,1,0,0,0,2,2,0,0,2,2
2013,1,0,68,2,6,0,0,1,1,1,1,1,2,4,1,1
2015,0.983561644,0,68,2,6,0,0,1,1,1,1,1,2,4,1,1
2014,1,0,175,2,6,0,0,1,1,1,1,1,2,4,1,1
2014,1,1,695,2,6,0,0,1,1,1,1,1,2,4,1,1
2013,1,0,870,1,6,0,0,1,1,1,1,1,2,4,1,1
2015,1,0,870,1,6,0,0,1,1,1,1,1,2,4,1,1
2015,1,0,900,2,6,0,0,1,1,1,1,1,2,4,1,1
2014,1,1,980,2,6,0,1,1,1,1,5,3,2,4,4,4
2012,1,0,8500,2,6,0,1,1,1,1,5,3,2,4,4,4
2014,0.747945205,0,8500,2,6,0,1,1,1,1,5,3,2,4,4,4
2012,1,0,1750,2,6,1,1,1,1,1,5,3,2,4,4,4
2012,1,0,185,2,6,0,1,1,1,1,5,3,2,4,4,4
2012,0.74863388,0,840,2,6,1,1,1,1,1,5,3,2,4,4,4
2014,1,0,290,2,6,0,1,1,1,1,5,3,2,4,4,4
2015,1,0,3930,2,6,0,0,1,1,1,1,1,2,4,1,1
2013,1,1,769,2,6,0,0,1,1,1,1,1,2,4,1,1
2016,1,0,9618,2,6,1,1,0,0,0,2,2,0,0,2,2
2012,1,0,1837,2,5,0,1,1,1,1,5,3,2,4,4,4
2016,0.99726776,0,1837,2,5,0,1,1,1,1,5,3,2,4,4,4
2015,1,0,3806,2,5,1,1,1,1,1,5,3,2,4,4,4
2014,1,0,620,2,5,0,1,1,1,1,5,3,2,4,4,4
2014,1,0,2897,2,5,1,1,1,1,1,5,3,2,4,4,4
2016,0.99726776,0,2897,2,5,1,1,1,1,1,5,3,2,4,4,4
2012,1,0,2561,2,5,0,1,1,1,1,5,3,2,4,4,4
2013,1,0,2561,2,5,0,1,1,1,1,5,3,2,4,4,4
2013,1,0,1726,2,5,0,1,1,1,1,5,3,2,4,4,4
2014,1,0,1870,2,5,0,1,1,1,1,5,3,2,4,4,4
2012,1,0,1726,2,5,1,1,1,1,1,5,3,2,4,4,4
2014,1,0,1726,2,5,0,1,1,1,1,5,3,2,4,4,4
2015,1,0,200,2,5,0,1,1,1,1,5,3,2,4,4,4
2013,0.367123288,0,5080,2,5,0,1,1,1,1,5,3,2,4,4,4
2013,0.457534247,0,2100,2,5,0,1,0,0,0,2,2,0,0,2,2
2013,1,0,1782,2,5,0,1,1,1,1,5,3,2,4,4,4
2016,1,0,8820,2,5,1,1,1,1,1,5,3,2,4,4,4
2012,1,0,816,2,5,0,1,1,1,1,5,3,2,4,4,4
2013,0.728767123,0,1995,2,5,0,1,1,1,1,5,3,2,4,4,4
2014,1,0,1795,2,5,0,1,1,1,1,5,3,2,4,4,4
2016,0.99726776,0,2200,2,5,1,1,1,1,1,5,3,2,4,4,4
2012,1,0,14200,2,5,0,1,1,1,1,5,3,2,4,4,4
2012,1,0,530,2,5,0,1,1,1,1,5,3,2,4,4,4
2014,1,0,530,2,5,0,1,1,1,1,5,3,2,4,4,4
2012,1,0,2000,2,5,0,1,1,1,1,5,3,2,4,4,4
2012,1,0,250,2,5,0,0,1,1,1,1,1,2,4,1,1
2013,1,0,1160,2,5,0,1,1,1,1,5,3,2,4,4,4
2013,1,0,528,2,5,0,1,1,1,1,5,3,2,4,4,4
2015,1,0,3650,2,5,1,1,0,0,0,2,2,0,0,2,2
2013,1,0,1550,2,3,1,1,1,1,1,5,3,2,4,4,4
2015,1,0,1550,2,3,1,1,1,1,1,5,3,2,4,4,4
2015,1,0,1411,2,3,1,1,1,1,1,5,3,2,4,4,4
2012,1,0,4150,2,3,0,1,1,1,1,5,3,2,4,4,4
2015,1,0,850,2,3,0,1,1,1,1,5,3,2,4,4,4
2012,0,0,35,2,3,0,1,1,1,1,5,3,2,4,4,4
2014,1,0,2700,2,3,1,1,0,0,0,2,2,0,0,2,2
2013,1,0,833,2,4,0,0,1,1,1,1,1,2,4,1,1
2016,0.99726776,0,833,2,4,0,0,1,1,1,1,1,2,4,1,1
2013,1,0,6628,2,4,1,0,1,1,1,1,1,2,4,1,1
2014,1,0,6628,2,4,1,0,1,1,1,1,1,2,4,1,1
2014,1,0,1600,2,4,0,1,1,1,1,5,3,2,4,4,4
2016,0.99726776,0,1600,2,4,0,1,1,1,1,5,3,2,4,4,4
2015,1,0,1920,2,4,0,1,1,1,1,5,3,2,4,4,4
2014,1,0,1660,2,4,0,1,1,1,1,5,3,2,4,4,4
2014,1,0,1981,2,4,1,0,1,1,1,1,1,2,4,1,1
2015,0.95890411,1,1300,2,4,0,0,1,1,1,1,1,2,4,1,1
2013,0.328767123,1,2100,2,4,0,1,1,1,1,5,3,2,4,4,4
2012,1,0,2079,2,4,0,0,1,1,1,1,1,2,4,1,1
2014,1,0,2079,2,4,0,0,1,1,1,1,1,2,4,1,1
2014,1,0,1972,2,4,1,1,1,1,1,5,3,2,4,4,4
2012,1,0,3400,2,4,1,1,0,0,0,2,2,0,0,2,2
2013,1,0,3400,2,4,0,1,0,0,0,2,2,0,0,2,2
2013,1,0,650,2,4,0,0,1,1,1,1,1,2,4,1,1
2013,0.254794521,0,833,2,4,0,1,0,0,0,2,2,0,0,2,2
2013,1,0,1414,2,4,1,1,1,1,1,5,3,2,4,4,4
2015,1,0,1414,2,4,1,1,1,1,1,5,3,2,4,4,4
2012,1,0,300,2,4,0,1,1,1,1,5,3,2,4,4,4
2014,0.832876712,0,300,2,4,0,1,1,1,1,5,3,2,4,4,4
2014,1,0,1879,2,4,0,1,1,1,1,5,3,2,4,4,4
2015,1,0,1879,2,4,0,1,1,1,1,5,3,2,4,4,4
2013,0.161643836,0,1235,2,4,0,1,1,1,1,5,3,2,4,4,4
2014,0.495890411,0,3000,2,4,0,1,0,0,0,2,2,0,0,2,2
2014,1,0,1330,2,3,0,1,0,0,0,2,2,0,0,2,2
2012,1,0,870,2,4,0,1,0,0,0,2,2,0,0,2,2
2014,1,0,1239,2,2,0,1,1,1,1,5,3,2,4,4,4
2015,1,0,1450,2,2,0,1,1,1,1,5,3,2,4,4,4
2015,1,0,1800,2,2,0,1,1,1,1,5,3,2,4,4,4
2012,1,0,1214,2,2,0,0,1,1,1,1,1,2,4,1,1
2012,1,0,10840,2,2,1,0,1,1,1,1,1,2,4,1,1
2013,1,0,104,2,2,0,1,0,0,0,2,2,0,0,2,2
2015,1,0,435,2,6,0,1,0,0,0,2,2,0,0,2,2
2012,0.868852459,0,1700,2,3,0,1,1,1,1,5,3,2,4,4,4
2013,1,0,545,1,3,0,0,1,1,1,1,1,2,4,1,1
2013,1,0,900,1,3,1,1,0,0,0,2,2,0,0,2,2
2014,1,0,550,1,3,0,1,0,0,0,2,2,0,0,2,2
2015,1,0,550,1,3,0,1,0,0,0,2,2,0,0,2,2
2013,1,0,4700,1,6,1,1,1,1,1,5,3,2,4,4,4
2012,1,0,981,1,6,0,1,1,1,1,5,3,2,4,4,4
2016,0.99726776,0,1670,1,6,0,1,0,0,0,2,2,0,0,2,2
2012,1,0,1368,1,3,0,1,0,0,0,2,2,0,0,2,2
2013,0.495890411,0,1365,1,7,0,1,1,1,1,5,3,2,4,4,4
2013,1,0,2004,1,7,0,1,0,0,0,2,2,0,0,2,2
2016,0.99726776,0,1584,1,4,0,1,0,0,0,2,2,0,0,2,2
2014,0,0,620,1,2,0,1,0,0,0,2,2,0,0,2,2
2015,1,0,650,1,5,0,0,1,1,1,1,1,2,4,1,1
2014,1,0,500,1,5,0,0,1,1,1,1,1,2,4,1,1
2012,1,0,2100,1,5,0,0,1,1,1,1,1,2,4,1,1
2016,0.99726776,0,4000,1,5,1,0,1,1,1,1,1,2,4,1,1
2016,1,0,820,1,5,0,1,0,0,0,2,2,0,0,2,2
2012,1,0,1400,1,5,1,1,0,0,0,2,2,0,0,2,2
2015,1,0,3904,1,4,1,1,0,0,0,2,2,0,0,2,2
2014,1,0,2721,1,4,1,1,0,0,0,2,2,0,0,2,2
2015,1,0,2721,1,4,0,1,0,0,0,2,2,0,0,2,2
2013,1,0,550,1,3,0,1,0,0,0,2,2,0,0,2,2
2015,0.98630137,0,550,1,3,0,1,0,0,0,2,2,0,0,2,2
2013,1,1,3744,1,6,0,1,0,0,0,2,2,0,0,2,2
